"","col","missing_share"
"1","absacc",0.295517306226678
"2","acc",0.295517306226678
"3","cfp",0.228712400898716
"4","cfp_ia",0.228712400898716
"5","chatoia",0.271846822325379
"6","chinv",0.209545396058714
"7","chpmia",0.204621262359823
"8","grcapx",0.298090722833134
"9","grltnoa",0.467664030564271
"10","invest",0.214885235517108
"11","mom36m",0.243088891748241
"12","operprof",0.212000039591025
"13","orgcap",0.347366701968664
"14","pchcapx_ia",0.225748022923203
"15","pchcurrat",0.211935704175863
"16","pchdepr",0.222204626211238
"17","pchgm_pchsale",0.203423633862203
"18","pchquick",0.217226054853365
"19","pchsale_pchinvt",0.401636099096335
"20","pchsale_pchrect",0.218215830471232
"21","pchsale_pchxsga",0.300550315243534
"22","pchsaleinv",0.412637455088931
"23","pctacc",0.295517306226678
"24","rd_mve",0.572382290934645
"25","rd_sale",0.579419595577683
"26","realestate",0.53874971543951
"27","roavol",0.318212861144379
"28","saleinv",0.341903140558036
"29","secured",0.550909108905011
"30","sgr",0.203398889471757
"31","stdacc",0.486796393257649
"32","stdcf",0.486796393257649
"33","tb",0.317044925915295
